date,reference_price,forecast_day_1,day_1_change_pct,forecast_day_2,day_2_change_pct,forecast_day_3,day_3_change_pct,forecast_day_4,day_4_change_pct,forecast_day_5,day_5_change_pct,forecast_day_6,day_6_change_pct,forecast_day_7,day_7_change_pct,forecast_day_8,day_8_change_pct,forecast_day_9,day_9_change_pct,forecast_day_10,day_10_change_pct,avg_predicted_price,max_predicted_price,min_predicted_price,price_volatility
2025-09-15,20355.39,10177.695,-50.0,14274.217237499997,-29.875000000000014,15863.209869374996,-22.06875000000002,16221.401122781244,-20.309062500000024,16579.592376187495,-18.549375000000023,15750.61275737812,-22.621906250000023,14963.082119509212,-26.49081093750003,14214.92801353375,-30.166270390625034,13504.181612857063,-33.65795687109379,12828.97253221421,-36.975059027539096,14437.789264133608,16579.592376187495,10177.695,1829.8796258477835
2025-09-16,20619.37,10309.685,-50.0,14459.333212499998,-29.875000000000007,16068.932783124996,-22.06875000000002,16431.769259593744,-20.309062500000024,16794.605736062495,-18.549375000000023,15954.875449259369,-22.621906250000027,15157.1316767964,-26.490810937500026,14399.27509295658,-30.166270390625026,13679.31133830875,-33.65795687109378,12995.345771393311,-36.975059027539096,14625.026531999563,16794.605736062495,10309.685,1853.6105208898975
2025-09-17,20775.42,10387.71,-50.0,14568.763274999998,-29.875000000000007,16190.544498749996,-22.068750000000012,16556.126967562494,-20.309062500000024,16921.709436374993,-18.549375000000026,16075.623964556242,-22.62190625000003,15271.84276632843,-26.49081093750003,14508.250628012007,-30.166270390625037,13782.838096611405,-33.657956871093795,13093.696191780835,-36.9750590275391,14735.710582497637,16921.709436374993,10387.71,1867.6388797478485
2025-09-18,20965.26,10482.63,-50.0,14701.888574999997,-29.875000000000007,16338.489183749994,-22.06875000000002,16707.412243312494,-20.30906250000002,17076.33530287499,-18.549375000000033,16222.518537731241,-22.621906250000038,15411.392610844678,-26.490810937500044,14640.822980302442,-30.166270390625044,13908.781831287319,-33.6579568710938,13213.342739722952,-36.97505902753912,14870.361400482612,17076.33530287499,10482.63,1884.704843513266
2025-09-19,21085.09,10542.545,-50.0,14785.919362499997,-29.875000000000014,16431.874200624996,-22.06875000000002,16802.905893718744,-20.30906250000003,17173.937586812495,-18.549375000000023,16315.24070747187,-22.621906250000023,15499.478672098276,-26.490810937500026,14724.50473849336,-30.166270390625034,13988.279501568692,-33.65795687109379,13288.865526490257,-36.97505902753909,14955.35511897787,17173.937586812495,10542.545,1895.4771488125182
2025-09-22,21226.87,10613.435,-50.0,14885.3425875,-29.875,16542.365126874996,-22.068750000000016,16915.891704906244,-20.309062500000024,17289.418282937495,-18.54937500000002,16424.94736879062,-22.621906250000016,15603.70000035109,-26.49081093750002,14823.515000333535,-30.166270390625016,14082.339250316858,-33.657956871093766,13378.222287801014,-36.97505902753908,15055.917660981188,17289.418282937495,10613.435,1908.2226836980053
2025-09-23,21282.84,10641.42,-50.0,14924.591550000001,-29.874999999999996,16585.9832475,-22.068749999999998,16960.494722625,-20.309062499999996,17335.006197749997,-18.549375000000012,16468.255887862495,-22.621906250000023,15644.84309346937,-26.490810937500026,14862.6009387959,-30.166270390625026,14119.470891856105,-33.65795687109378,13413.4973472633,-36.97505902753909,15095.616387712216,17335.006197749997,10641.42,1913.2541944014959
2025-09-24,21338.45,10669.225,-50.0,14963.588062499999,-29.875000000000007,16629.320815624997,-22.06875000000002,17004.810852968745,-20.309062500000024,17380.300890312497,-18.549375000000015,16511.285845796872,-22.621906250000016,15685.721553507028,-26.490810937500015,14901.435475831677,-30.166270390625016,14156.363702040093,-33.657956871093766,13448.545516938088,-36.97505902753908,15135.059771552002,17380.300890312497,10669.225,1918.2533423418388
2025-09-25,21521.06,10760.53,-50.0,15091.643325000001,-29.875,16771.631071249998,-22.068750000000016,17150.3344739375,-20.30906250000001,17529.037876625,-18.54937500000001,16652.58598279375,-22.621906250000006,15819.956683654062,-26.490810937500008,15028.958849471357,-30.166270390625016,14277.510906997788,-33.657956871093766,13563.635361647897,-36.97505902753909,15264.582453137735,17529.037876625,10760.53,1934.6693539474174
2025-09-26,21598.99,10799.495,-50.0,15146.2917375,-29.875000000000007,16832.362894374997,-22.06875000000002,17212.437621531244,-20.30906250000003,17592.512348687495,-18.549375000000033,16712.88673125312,-22.621906250000038,15877.242394690462,-26.490810937500036,15083.380274955938,-30.166270390625037,14329.21126120814,-33.657956871093795,13612.750698147733,-36.9750590275391,15319.857096234913,17592.512348687495,10799.495,1941.674993202784
2025-09-29,21676.3,10838.15,-50.0,15200.505374999997,-29.875000000000014,16892.611543749998,-22.06875000000001,17274.046685312496,-20.309062500000014,17655.481826874995,-18.54937500000002,16772.707735531243,-22.62190625000003,15934.07234875468,-26.49081093750003,15137.368731316945,-30.166270390625037,14380.500294751097,-33.65795687109379,13661.475280013541,-36.9750590275391,15374.6919821305,17655.481826874995,10838.15,1948.6248965882905
2025-09-30,21778.6,10889.3,-50.0,15272.243249999998,-29.875000000000007,16972.3352125,-22.068750000000005,17355.570514374995,-20.309062500000017,17738.805816249995,-18.54937500000002,16851.865525437493,-22.621906250000023,16009.272249165619,-26.490810937500026,15208.808636707337,-30.166270390625023,14448.36820487197,-33.65795687109378,13725.94979462837,-36.97505902753909,15447.251920393577,17738.805816249995,10889.3,1957.8213151154828
2025-10-01,21851.3,10925.65,-50.0,15323.224124999997,-29.875000000000014,17028.991231249995,-22.068750000000023,17413.505825937493,-20.30906250000003,17798.020420624995,-18.54937500000002,16908.119399593743,-22.62190625000003,16062.713429614056,-26.49081093750003,15259.577758133351,-30.166270390625034,14496.598870226682,-33.657956871093795,13771.768926715347,-36.9750590275391,15498.816998709564,17798.020420624995,10925.65,1964.3567953395966
2025-10-02,21951.79,10975.895,-50.0,15393.6927375,-29.875000000000007,17107.304344375,-22.068750000000005,17493.587249031247,-20.309062500000017,17879.870153687498,-18.549375000000012,16985.876646003122,-22.621906250000016,16136.582813702966,-26.490810937500015,15329.753673017816,-30.166270390625023,14563.265989366924,-33.65795687109377,13835.102689898577,-36.97505902753909,15570.093129658315,17879.870153687498,10975.895,1973.390501085419
2025-10-03,22094.89,11047.445,-50.0,15494.0416125,-29.875,17218.823963125,-22.068749999999998,17607.624980593748,-20.309062500000007,17996.4259980625,-18.549375,17096.60469815937,-22.621906250000013,16241.774463251402,-26.490810937500015,15429.685740088831,-30.166270390625023,14658.201453084388,-33.65795687109377,13925.291380430168,-36.97505902753909,15671.591928929538,17996.4259980625,11047.445,1986.2546994357742
2025-10-07,22163.23,11081.615,-50.0,15541.965037499998,-29.875000000000007,17272.082179374996,-22.068750000000016,17662.085767281245,-20.309062500000017,18052.089355187494,-18.549375000000023,17149.48488742812,-22.621906250000023,16292.010643056712,-26.49081093750003,15477.410110903877,-30.166270390625026,14703.539605358683,-33.65795687109377,13968.362625090747,-36.97505902753909,15720.064521118187,18052.089355187494,11081.615,1992.3982306395687
2025-10-08,22097.99,11048.995,-50.0,15496.215487500001,-29.874999999999996,17221.239831875,-22.068750000000012,17610.095399656246,-20.309062500000024,17998.950967437497,-18.54937500000002,17099.003419065622,-22.621906250000016,16244.053248112341,-26.49081093750002,15431.850585706723,-30.166270390625023,14660.258056421386,-33.65795687109377,13927.245153600315,-36.97505902753909,15673.790714937513,17998.950967437497,11048.995,1986.5333787850818
2025-10-09,22174.74,11087.37,-50.0,15550.036424999998,-29.875000000000014,17281.05206625,-22.068750000000012,17671.258194187496,-20.309062500000024,18061.464322124997,-18.54937500000002,17158.391106018746,-22.621906250000027,16300.471550717808,-26.490810937500026,15485.447973181917,-30.166270390625026,14711.17557452282,-33.65795687109378,13975.616795796679,-36.97505902753909,15728.228400780044,18061.464322124997,11087.37,1993.4329400945835
2025-10-10,22318.72,11159.36,-50.0,15651.0024,-29.875000000000007,17393.25748,-22.068750000000005,17785.997206,-20.309062500000007,18178.736932,-18.549375000000005,17269.8000854,-22.621906250000013,16406.31008113,-26.490810937500008,15585.994577073498,-30.166270390625016,14806.694848219822,-33.657956871093766,14066.36010580883,-36.97505902753908,15830.351371563214,18178.736932,11159.36,2006.3762474215166
2025-10-13,22321.08,11160.54,-50.0,15652.657350000001,-29.875,17395.0966575,-22.068750000000012,17787.877912124997,-20.309062500000017,18180.65916675,-18.54937500000001,17271.626208412497,-22.621906250000016,16408.044897991873,-26.490810937500015,15587.642653092278,-30.166270390625023,14808.260520437663,-33.65795687109377,14067.847494415779,-36.97505902753909,15832.02528607251,18180.65916675,11160.54,2006.5884033132481
