Date,ASI_Price,Predicted_Downturn,Downturn_Probability,Risk_Level,Actual_Downturn,Actual_Days_to_Drop,Actual_Max_Drop_Pct,Prediction_Correct,Predicted_Loss_1M_Portfolio,Actual_Loss_1M_Portfolio
2025-09-01,21062.45,False,0.0026,STABLE,False,,,True,0,0.0
2025-09-02,20990.67,False,0.0011,STABLE,False,,,True,0,0.0
2025-09-03,20975.73,False,0.0036,STABLE,False,,,True,0,0.0
2025-09-04,20991.98,False,0.0027,STABLE,False,,,True,0,0.0
2025-09-08,20905.83,False,0.0042,STABLE,False,,,True,0,0.0
2025-09-09,20674.11,False,0.0221,STABLE,False,,,True,0,0.0
2025-09-10,20769.34,False,0.0042,STABLE,False,,,True,0,0.0
2025-09-11,20641.83,False,0.0091,STABLE,False,,,True,0,0.0
2025-09-12,20612.4,False,0.007,STABLE,False,,,True,0,0.0
2025-09-15,20355.39,False,0.0044,STABLE,False,,,True,0,0.0
2025-09-16,20619.37,False,0.0018,STABLE,False,,,True,0,0.0
2025-09-17,20775.42,False,0.0032,STABLE,False,,,True,0,0.0
2025-09-18,20965.26,False,0.002,STABLE,False,,,True,0,0.0
2025-09-19,21085.09,False,0.0017,STABLE,False,,,True,0,0.0
2025-09-22,21226.87,False,0.0011,STABLE,False,,,True,0,0.0
2025-09-23,21282.84,False,0.0008,STABLE,False,,,True,0,0.0
2025-09-24,21338.45,False,0.0009,STABLE,False,,,True,0,0.0
2025-09-25,21521.06,False,0.0004,STABLE,False,,,True,0,0.0
2025-09-26,21598.99,False,0.0007,STABLE,False,,,True,0,0.0
2025-09-29,21676.3,False,0.0012,STABLE,False,,,True,0,0.0
2025-09-30,21778.6,False,0.0013,STABLE,False,,,True,0,0.0
2025-10-01,21851.3,False,0.001,STABLE,False,,,True,0,0.0
2025-10-02,21951.79,False,0.0006,STABLE,False,,,True,0,0.0
2025-10-03,22094.89,False,0.0015,STABLE,False,,,True,0,0.0
2025-10-07,22163.23,False,0.001,STABLE,False,,,True,0,0.0
2025-10-08,22097.99,False,0.0045,STABLE,False,,,True,0,0.0
2025-10-09,22174.74,False,0.0026,STABLE,False,,,True,0,0.0
2025-10-10,22318.72,False,0.0019,STABLE,False,,,True,0,0.0
2025-10-13,22321.08,False,0.0021,STABLE,False,,,True,0,0.0
2025-10-14,22372.57,False,0.002,STABLE,False,,,True,0,0.0
2025-10-15,22292.28,False,0.0008,STABLE,False,,,True,0,0.0
2025-10-16,22416.15,False,0.001,STABLE,False,,,True,0,0.0
2025-10-17,22633.8,False,0.002,STABLE,False,,,True,0,0.0
2025-10-21,22783.62,False,0.0007,STABLE,False,,,True,0,0.0
2025-10-22,22791.07,False,0.0007,STABLE,False,,,True,0,0.0
2025-10-23,22850.95,False,0.0022,STABLE,False,,,True,0,0.0
2025-10-24,22812.52,False,0.001,STABLE,False,,,True,0,0.0
2025-10-27,22788.79,False,0.0021,STABLE,False,,,True,0,0.0
2025-10-28,22689.22,False,0.0018,STABLE,False,,,True,0,0.0
2025-10-29,22777.12,False,0.0007,STABLE,False,,,True,0,0.0
2025-10-30,22839.53,False,0.0011,STABLE,False,,,True,0,0.0
2025-10-31,22804.84,False,0.0004,STABLE,False,,,True,0,0.0
2025-11-03,22928.31,False,0.0003,STABLE,False,,,True,0,0.0
2025-11-04,22953.49,False,0.0003,STABLE,False,,,True,0,0.0
2025-11-06,23112.48,False,0.0005,STABLE,False,,,True,0,0.0
