date,close,prob_minus_5,prob_minus_10,prob_minus_20,prob_plus_5,prob_plus_10,prob_plus_20,alert_minus_5,alert_minus_10,alert_minus_20,alert_plus_5,alert_plus_10,alert_plus_20,vol_regime,actual_plus_5,actual_plus_10,actual_plus_20,actual_minus_5,actual_minus_10,actual_minus_20
2025-09-29,21676.3,0.1642,0.0739,0.02585,0.17445,0.08515,0.03535,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-30,21778.6,0.1585,0.0688,0.0218,0.16955,0.08235,0.03205,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-01,21851.3,0.155,0.0669,0.02235,0.1659,0.0777,0.0301,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-02,21951.79,0.1485,0.0641,0.0208,0.1587,0.0746,0.02835,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-03,22094.89,0.14905,0.06125,0.0207,0.1571,0.075,0.03015,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-07,22163.23,0.1565,0.06695,0.02235,0.16265,0.07805,0.0312,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-08,22097.99,0.1466,0.06205,0.0201,0.14875,0.06895,0.0268,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-09,22174.74,0.1458,0.0617,0.0189,0.15175,0.06975,0.0272,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-10,22318.72,0.14395,0.06225,0.019,0.1543,0.0685,0.0257,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-13,22321.08,0.1485,0.06145,0.02095,0.1633,0.0751,0.02965,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-14,22372.57,0.141,0.05615,0.0186,0.1487,0.0686,0.02715,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-15,22292.28,0.13115,0.0525,0.017,0.1331,0.0585,0.023,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-16,22416.15,0.13925,0.05505,0.01685,0.13955,0.0605,0.0229,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-10-17,22633.8,0.1446,0.0581,0.0173,0.1499,0.065,0.0238,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
