date,close,rsi_14,macd_hist,momentum_10,momentum_20,volatility_20,price_vs_sma20,price_vs_sma50,local_dd_60,below_sma50,negative_momentum_20,rsi_below_50,macd_bearish,return_5d,return_10d,macd,will_have_drawdown
2020-10-19,5946.0801,46.30715061883185,-0.01070643581732611,0.06423632085465947,0.03940276295263967,0.3360934258995139,0.020024194730305516,0.07187147575059055,-0.017204442473590657,0,0,1,1,0.01798140806811821,0.06423632085465947,99.85605268093877,True
2018-11-23,5930.0498,47.72696921334644,-5.109612820367289,-0.009547051130660233,0.02845123135622618,0.1470579421285122,-0.003943903901918957,0.0024003656220059092,-0.03230257832898176,0,0,1,1,-0.0029105519576847483,-0.009547051130660233,13.932768366868913,False
2013-01-07,5746.0898,81.9080896235258,29.428344060936617,0.04234427509244987,0.07944075097544512,0.08600856620235407,0.03527674521125713,0.04279459415164065,-0.017287012645211514,0,0,0,0,0.024782714593432065,0.04234427509244987,66.29719221179766,False
2025-06-16,17360.19,77.91527997603097,17.788265474174466,0.029981263564336835,0.05988012984610536,0.0960300351206229,0.02245624460819844,0.07024727866714289,-0.017057489617217272,0,0,0,0,-0.0019695937497306026,0.029981263564336835,384.2212322467094,False
2021-12-31,12226.01,77.83208413772819,8.009761927909324,0.04686843085459369,0.08653430854136501,0.18321398209908749,0.0517747436881801,0.11035227050731349,0.0,0,0,0,0,0.022991775741911136,0.04686843085459369,315.3875446488055,False
2017-08-02,6585.5298,15.526548980870928,-14.543030448844025,-0.016384829199295514,-0.018514820754090167,0.042345422023064024,-0.016294169018167392,-0.016349946449601936,-0.02669325454848317,1,1,1,1,-0.012523523216155796,-0.016384829199295514,-22.028588738506187,False
2014-03-11,5944.5698,40.12550749027604,2.1298861709391375,0.010457161181943508,-0.03210019238583994,0.08128124390977143,-0.005076771108056986,-0.016173623769946965,-0.04972482467353123,1,1,1,0,0.0013390952875693696,0.010457161181943508,-36.1647716423804,False
2019-08-01,5897.2598,76.14219398807973,22.61382392044669,0.03538990070368819,0.08975432509186176,0.12835382090039069,0.03572465291676533,0.07573002730750222,-0.016336468630355396,0,0,0,0,0.01770588722355093,0.03538990070368819,133.12258600425776,False
2017-09-19,6428.0698,55.77450034330731,14.157478351803086,0.006657160739901302,-0.001275581586742125,0.035042776998091066,0.005868386511426782,-0.015180936536008747,-0.04996501624316047,1,1,0,0,0.007948389588646076,0.006657160739901302,-30.330648823673982,False
2018-08-06,6142.6499,52.82059145367929,5.982578341676227,-0.007836967937190575,0.005555984815124759,0.05171671258286076,-8.010640151224626e-05,-0.014814309632223336,-0.05382115917257133,1,0,0,0,0.0022352441369160037,-0.007836967937190575,-20.863690896629123,False
2018-10-05,5883.77,32.20910416354839,-4.493286867067383,-0.006485820880627657,-0.03739166265482374,0.08648155412842283,-0.010076292956766044,-0.02560048632583892,-0.04965134295539191,1,1,1,1,0.0036828959983181697,-0.006485820880627657,-65.57745335555683,False
2025-12-02,22241.57,21.722346072277105,-158.67201094255032,-0.035142371525521354,-0.029951618763005228,0.1548848930216219,-0.033837034756300254,-0.012953651690765575,-0.05993862982201807,1,1,1,1,-0.025343658235286615,-0.035142371525521354,-54.495263798999076,False
2014-10-10,7321.0,66.74885979870712,0.5692878344621164,0.009176434008559387,0.022022126827906385,0.06632788174978926,0.007900258421715246,0.03324607866345901,-0.011557273086743222,0,0,0,0,0.00382827277599751,0.009176434008559387,84.31969608512827,False
2017-10-19,6555.46,71.51128762621859,10.02931413856555,0.009429892752943703,0.019817799738266695,0.05795538858596775,0.008280941702338568,0.015906480251383776,-0.017100177287392212,0,0,0,0,-0.0006326443284379035,0.009429892752943703,39.94279139111586,False
2013-06-10,6341.2798,31.859548835820476,-32.639613133414045,-0.016328169839945117,0.014604768000000101,0.1065319328713013,-0.007575682863734304,0.04042248780373875,-0.02274213423423041,0,0,1,1,-0.01711188350594306,-0.016328169839945117,77.45339877794504,False
2014-04-09,6083.5498,81.90303980440649,17.38443424120626,0.02227865298334053,0.02528512586120879,0.05184671794394455,0.01868562585597309,0.011335643344785457,-0.02750803720021866,0,0,0,0,0.013117883190321145,0.02227865298334053,24.395907818611704,False
2014-06-06,6279.1401,40.10364248936715,-9.703826062002939,-0.00018629653335111573,0.004244634164273453,0.05071188955387992,-0.0016376529495862409,0.017054205415147378,-0.006718193730998927,0,0,1,1,0.00250342462472819,-0.00018629653335111573,26.421884597440112,False
2017-11-21,6458.73,22.314864812359687,-17.463255213991435,-0.020794782496451836,-0.017019873237290706,0.05639176036711658,-0.014696043753044504,-0.007559486629880626,-0.026302568102799108,1,1,1,1,0.000128540239528796,-0.020794782496451836,-22.07394424048107,False
2021-10-26,10127.04,80.29931296693903,25.681631317029,0.046301840244153736,0.13276453498829288,0.16329010969707622,0.051016059924831096,0.11246904593469233,0.0,0,0,0,0,0.052290145058564,0.046301840244153736,263.24283942236434,False
2022-01-12,13122.95,84.20694919268752,55.89234956567367,0.1013639743587591,0.11240853513810456,0.17959007038486793,0.06433837670624878,0.14173696587398973,-0.011895995313584715,0,0,0,0,0.003520709403062483,0.1013639743587591,519.2209668140767,False
2013-03-12,5704.3198,44.05689005665359,-1.0666556564476402,0.006145149114204607,-0.025127585512273343,0.07304944770078253,-0.002136027276467505,-0.008085906151495783,-0.030481094064541667,1,1,1,1,0.0137822942825101,0.006145149114204607,-24.4113530637469,False
2022-12-02,8769.73,60.86493942491411,114.6622261658496,0.12175152119050026,0.03064403543996841,0.27730870811859687,0.060897065151296274,-0.0037133668488911692,-0.12932891729660714,1,0,0,0,0.07629668902781761,0.12175152119050026,-39.915464204754244,False
2012-07-25,4883.8799,41.142964253603736,3.441437104886532,0.003181708877437739,-0.02126463094055786,0.07595121537764649,-0.004104831526919221,-0.01291498544377746,-0.1023137678016073,1,1,1,0,0.012698397294875985,0.003181708877437739,-29.010029645123723,False
2025-10-08,22097.99,95.51013385545099,52.493231738667646,0.03830080947843428,0.06887261410527468,0.08971884744402425,0.03647550701688389,0.06630465628113406,-0.00294361426561011,0,0,0,0,0.014665313656525347,0.03830080947843428,427.20855395782564,False
2019-11-28,6201.1201,78.42601301948531,5.652064092205244,0.03696450165180343,0.03971498511967142,0.09926067684410661,0.025095096640266205,0.049900673006879455,0.0,0,0,0,0,0.01022916639820326,0.03696450165180343,67.75536202271542,False
2014-04-03,6018.4702,77.94710725466129,14.321939749678544,0.017568525510460287,0.009483505861910269,0.049451261478125265,0.011657900948355601,-0.001439886182411388,-0.037911402015646765,1,0,0,0,0.004313655724647036,0.017568525510460287,4.514125667281405,False
