date,close,returns,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,rsi_7,volatility_10,volatility_20,volatility_60,return_1d,momentum_1,return_3d,momentum_3,return_5d,momentum_5,return_7d,momentum_7,return_10d,momentum_10,return_20d,momentum_20,return_50d,momentum_50,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_vs_sma50,sma50_vs_sma200,vol_regime,price_velocity,volume_proxy,drawdown_velocity,consecutive_down_days,fear_index,local_dd_20,local_recovery_20,local_dd_60,local_recovery_60,local_dd_120,local_recovery_120,local_dd_252,local_recovery_252,trend_strength,momentum_accel,will_have_downturn,additional_severity,days_to_trough,will_recover,days_to_recovery
2012-04-18,5407.4702,-0.005028630493436048,5414.777,5413.60752,,,,5418.300414665502,5428.497699254641,-10.19728458913869,-14.612747697387446,4.4154631082487565,44.27940881061383,52.665808403402764,0.06181560328533194,0.0765078593311873,,-0.005028630493436048,-0.005028630493436048,-0.0033654088942870475,-0.0033654088942870475,-0.0010437418523192576,-0.0010437418523192576,0.0012146100855370268,0.0012146100855370268,-0.0023486217354112826,-0.0023486217354112826,-0.007630614790857693,-0.007630614790857693,,,-0.0011336839579386092,,,,,,18.113980000000083,0.45,-0.005028630493436048,1,0.0,-0.00770531392101241,0.010798735974027017,,,,,,,,-0.006554023025867273,False,,,,
2012-04-19,5518.7202,0.020573391232003413,5426.7789999999995,5417.07053,,,,5433.74961240927,5435.180847458001,-1.4312350487307413,-11.976445167656106,10.545210118925365,65.08699957723253,72.52188961486317,0.11772656297975584,0.1067276356371514,,0.020573391232003413,0.020573391232003413,0.015441304756064866,0.015441304756064866,0.02343702449908669,0.02343702449908669,0.01760387221684412,0.01760387221684412,0.022231277076656175,0.022231277076656175,0.012709552873128693,0.012709552873128693,,,0.018764693839051747,,,,,,36.207920000000016,1.0,-0.005028630493436048,0,0.0,0.0,0.03159429382603524,,,,,,,,0.024579898812067458,False,,,,
2012-04-20,5457.1299,-0.011160250523300608,5430.826999999999,5419.226025,,,,5437.346579730922,5436.806703201853,0.5398765290683514,-9.473180828311214,10.013057357379566,55.57512893614521,58.35385265867272,0.1351124804997103,0.11201811096474731,,-0.011160250523300608,-0.011160250523300608,0.004108725403279889,0.004108725403279889,0.005787221258706232,0.005787221258706232,0.008130209414714429,0.008130209414714429,0.007473253901825849,0.007473253901825849,0.00796264143833958,0.00796264143833958,,,0.006994333660404942,,,,,,41.847940000000015,1.0,-0.011160250523300608,1,0.0,-0.011160250523300646,0.020081443068529277,,,,,,,,-0.014758023174830326,False,,,,
2012-04-23,5455.0601,-0.0003792836230634977,5436.24199,5422.774025,,,,5440.071736695396,5438.158806668383,1.9129300270133172,-7.195958657246309,9.108888684259625,55.953526616898046,62.81576969469226,0.13377276074184052,0.10986339517979014,,-0.0003792836230634977,-0.0003792836230634977,0.00880076972037691,0.00880076972037691,0.003727883407959265,0.003727883407959265,0.011631370115065875,0.011631370115065875,0.010026069309576613,0.010026069309576613,0.013179546940444098,0.013179546940444098,,,0.005953793178759645,,,,,,40.44794000000002,0.95,-0.011160250523300608,2,0.0,-0.011535301246111383,0.01969454288298239,,,,,,,,0.0025528154077507637,False,,,,
2012-04-24,5441.5298,-0.0024803209775817736,5438.06997,5427.365505,,,,5440.296054126874,5438.4085098781325,1.8875442487415057,-5.379258076048747,7.266802324790253,52.90856013416795,53.51356832564982,0.1335940340658683,0.1073767175506563,,-0.0024803209775817736,-0.0024803209775817736,-0.013987010974029768,-0.013987010974029768,0.001238316082958546,0.001238316082958546,0.0029120136829514642,0.0029120136829514642,0.0033706356889320332,0.0033706356889320332,0.01716537311754407,0.01716537311754407,,,0.0026097919859923813,,,,,,43.153999999999904,1.0,-0.011160250523300608,3,0.0,-0.013987010974029723,0.009122199606189601,,,,,,,,-0.00665543362064458,True,,,,
2012-04-25,5440.0098,-0.0002793332125095027,5440.75894,5428.24949,,,,5440.252015030432,5438.527123961234,1.724891069197838,-3.9584282469994303,5.683319316197268,55.957724693101575,51.19885866648998,0.133086594110523,0.09633098542465968,,-0.0002793332125095027,-0.0002793332125095027,-0.0031371985482698816,-0.0031371985482698816,0.006017527382767618,0.006017527382767618,0.0009586369676395368,0.0009586369676395368,0.004967504785271526,0.004967504785271526,0.003260535539877818,0.003260535539877818,,,0.002166501377960736,,,,,,37.99207999999999,0.85,-0.011160250523300608,4,0.3,-0.014262437149830488,0.008840318260358903,,,,,,,,0.0015968690963394927,True,,,,
2012-04-26,5445.0098,0.0009191159912984581,5446.0259399999995,5428.95198,,,,5440.983981948826,5439.007322186328,1.976659762498457,-2.771410645099853,4.74807040759831,54.2488052792056,52.29654955073969,0.13084051959236068,0.0962298326283915,,0.0009191159912984581,0.0009191159912984581,-0.0018423811682660718,-0.0018423811682660718,-0.013356429992591345,-0.013356429992591345,0.0018786340575047689,0.0018786340575047689,0.009767559529538561,0.009767559529538561,0.0025869827802083023,0.0025869827802083023,,,0.00295781212638392,,,,,,16.742079999999987,0.3,-0.011160250523300608,0,0.0,-0.013356429992591387,0.009767559529538564,,,,,,,,0.004800054744267035,True,,,,
2012-04-27,5440.52,-0.0008245715186774305,5447.504940000001,5429.72798,,,,5440.912600110545,5439.119372394748,1.793227715797002,-1.8584829729204821,3.6517106887174844,56.14124849596494,58.285226084466416,0.12775320151278996,0.09618791873020074,,-0.0008245715186774305,-0.0008245715186774305,-0.00018557281446840435,-0.00018557281446840435,-0.0030437061796897424,-0.0030437061796897424,0.006111878341927834,0.006111878341927834,0.0027259004779081053,0.0027259004779081053,0.0028608294930876355,0.0028608294930876355,,,0.00198758023233436,,,,,,5.321979999999894,0.05,-0.0024803209775817736,1,0.0,-0.014169988179505696,0.008934933959466112,,,,,,,,-0.007041659051630456,True,,,,
2012-04-30,5419.2002,-0.003918706300133135,5445.94498,5429.8595000000005,,,,5437.572230862769,5437.643878143285,-0.07164728051611746,-1.5011158344396092,1.4294685539234917,49.37011190260743,4.5653761867060325,0.12914872980932973,0.09710869881994492,,-0.003918706300133135,-0.003918706300133135,-0.003825287226504548,-0.003825287226504548,-0.00657369476094305,-0.00657369476094305,-0.018033166457686933,-0.018033166457686933,-0.002870317320612159,-0.002870317320612159,0.0004856209920898191,0.0004856209920898191,,,-0.0019630894685212863,,,,,,9.171979999999895,0.15,-0.003918706300133135,2,0.0,-0.01803316645768697,0.004981214277334763,,,,,,,,-0.005596217798520264,True,,,,
2012-05-02,5417.1699,-0.000374649380917913,5444.18199,5430.115995,,,,5434.433410730036,5436.127287169708,-1.6938764396727493,-1.5396679554862371,-0.15420848418651212,50.64616865065964,10.008006403721865,0.1291414788630751,0.09706714340951246,,-0.000374649380917913,-0.000374649380917913,-0.00511292009061215,-0.00511292009061215,-0.004476663896979871,-0.004476663896979871,-0.00732253047522291,-0.00732253047522291,-0.0032438913389228885,-0.0032438913389228885,0.000947868086710324,0.000947868086710324,,,-0.0023841286285451145,,,,,,6.871980000000076,0.1,-0.003918706300133135,3,0.0,-0.018401059723955542,0.004604698687571605,,,,,,,,-0.00037357401831072945,True,,,,
