date,close,rsi_7,rsi_14,rsi_21,rsi_slope,macd,macd_hist,macd_acceleration,macd_divergence,momentum_3,momentum_5,momentum_10,momentum_20,momentum_acceleration,volatility_10,volatility_20,volatility_60,vol_regime,vol_spike,vol_cluster,price_vs_sma20,price_vs_sma50,price_vs_sma200,trend_strength,local_dd_10,local_dd_20,local_dd_60,local_dd_120,below_sma50,below_all_ma,negative_momentum_10,negative_momentum_20,rsi_oversold,rsi_below_50,macd_bearish,macd_declining,return_5d,return_10d,vol_adjusted_return_5,vol_adjusted_return_10,consecutive_red_days,extreme_moves,will_have_drawdown
2018-04-25,6533.6299,70.72109925206419,64.44849949765023,61.61596358121497,-1.2093248288011502,10.723793859311627,9.513369532119484,-0.5263981226779162,0.8936731018598557,0.0007750702152253819,-0.0016228139206173608,0.015942808913828044,0.013948384093113386,0.006432792074693383,0.04908570495773695,0.052097888502457834,0.04721178326362538,0,0,1,0.008343985920391926,0.0032947076312768112,0.004369302063344994,0.011638693551668737,-0.002777880336060641,-0.002777880336060641,-0.009865549886114398,-0.01501089926397824,0,0,0,0,0,0,0,1,-0.0016228139206173608,0.015942808913828044,-0.033060151868302905,0.3060105382685068,3.0,0,False
2014-03-13,5913.9399,36.160483277360036,44.06152675735262,30.951796513228757,2.012990243124106,-35.69024215385798,1.5960900163856522,-0.8411225395323498,-0.7520689194863336,-0.007330120758662018,-0.008049456868850835,0.007003427541442342,-0.03258712828226251,-0.009720602546770651,0.07509116388906206,0.08015071246873243,0.08063209919464301,0,0,1,-0.007079310202523654,-0.021745121841119493,-0.01461641169903416,0.02882443204364315,-0.008736117157116701,-0.028028705822025754,-0.05462119809869181,-0.05462119809869181,1,1,0,1,0,1,0,1,-0.008049456868850835,0.007003427541442342,-0.10719436558976722,0.08737714174446881,6.0,0,False
2020-07-03,5050.8999,31.37438941794575,69.18921051371149,76.34169932535445,-6.09408235929822,46.575840547087864,14.214215223213415,-9.997052620933978,0.9839118432851575,-0.019160804461762937,-0.02177853483148462,0.012119220669186692,0.05644601922372461,-0.01441494261859022,0.111412959167384,0.10201042886056381,0.2878421458533851,0,0,0,0.0059653844075887,0.013543156199285955,-0.11175363053184388,0.019508540606874656,-0.021778534831484567,-0.021778534831484567,-0.14377887080689336,-0.18733499806121404,0,0,0,0,0,0,0,1,-0.02177853483148462,0.012119220669186692,-0.19547402313174594,0.1188025773636802,5.0,0,False
2022-08-12,9027.4805,99.99999999937498,93.64321548324816,92.04921644832336,1.0638814398873748,294.4078421072081,129.07897447015668,19.234666365239093,0.975966929411237,0.071769319079944,0.0970138968112777,0.17550827674854186,0.23355892308645454,0.03396849813501768,0.15373429332783206,0.1718916027737452,0.23876581242884135,0,0,0,0.13480979125077147,0.17068925310881375,-0.08821625376769064,0.3054990443595852,0.0,0.0,0.0,-0.3060855144317614,0,0,0,0,0,0,0,0,0.0970138968112777,0.17550827674854186,0.6310450561563694,1.02103449430896,0.0,0,False
2025-11-11,23582.16,95.72788512374235,83.51323674967765,85.88819077446216,1.6437942702841686,428.3161645805303,22.787066236899136,12.252025818742197,-0.674284302142669,0.0203214886502876,0.02851714757869206,0.03481404673087063,0.05660898116020974,0.004564429415466753,0.06710271976870519,0.06555958990463931,0.08451144579116686,0,0,0,0.03296689144998429,0.07692004746270392,0.28271519951851554,0.10988693891268822,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.02851714757869206,0.03481404673087063,0.4249711890337181,0.5310209499565082,2.0,0,False
2018-03-26,6448.6001,20.929628637434575,31.666905028392577,28.633988841137736,0.45758437120615714,-19.451210016266486,-12.113367116541895,1.1407072766544957,-0.9881441644737814,0.00040799133697522194,-0.0069344574134106995,-0.01513958272561633,-0.01928250614362792,0.0012604761400257791,0.03925619850079565,0.04068681462991106,0.05205268650959655,0,0,0,-0.009960485017380177,-0.009005575557128229,-0.011644244883339094,0.018966060574508406,-0.016206369712008322,-0.017029611879591688,-0.022751332453366014,-0.027829719356277014,1,1,1,1,0,1,1,0,-0.0069344574134106995,-0.01513958272561633,-0.17664167791469262,-0.3720913217709826,6.0,0,False
2015-09-18,7107.8701,9.594518826072331,21.129973981721676,27.744282985731715,-6.378178710626081,-48.445189590972404,-13.428479103192373,1.1898531735057674,-0.9707064811942736,-0.0062300642933921235,-0.00637732054207607,-0.014863224744504633,-0.04862689576902801,0.0033536270945678792,0.06933996140857497,0.1069046026267496,0.08723750707142147,0,0,1,-0.014011941224419858,-0.019639358705043006,-0.012810152892583884,0.03365129992946286,-0.010493843316047738,-0.03301125634648982,-0.05212977450011269,-0.05212977450011269,1,1,1,1,1,1,1,0,-0.00637732054207607,-0.014863224744504633,-0.09197046612173777,-0.13903129844745482,8.0,0,False
2018-10-10,5872.02,68.6371355155083,37.510018245549354,29.344226097342627,3.850970646492081,-51.433168273287265,6.34080615196595,1.4988089755833869,-0.8542669016840801,-0.0019970189181426345,0.01000887521635696,-0.002632687447346238,-0.0366204392615207,-0.010655170930516378,0.07398561711546725,0.08882731955782942,0.06679759324731825,1,1,1,-0.006628105060807703,-0.025011460526179613,-0.06962851426222356,0.031639565586987314,-0.006100157985867351,-0.031128552204420776,-0.05154920720234143,-0.10375881083973769,1,1,1,1,0,1,0,0,0.01000887521635696,-0.002632687447346238,0.13527953576707805,-0.029637929215043785,6.0,0,False
2021-08-13,7996.04,27.340805829597656,40.75159615000899,54.29492522313672,-5.322213844816023,53.92215662643321,-31.68656993492438,-3.1347512168306935,-0.6057987674413617,-0.009272830339105864,-0.012727320835753564,-0.01532421728764799,0.007140370343411417,0.004311492882795753,0.16775668701516763,0.12982481228522305,0.10553156747744098,0,0,1,-0.010952320420073549,0.016859929675044315,0.1090973359232212,0.02781225009511786,-0.027547391686214014,-0.027547391686214014,-0.027547391686214014,-0.027547391686214014,0,0,1,0,0,1,1,1,-0.012727320835753564,-0.01532421728764799,-0.07586728848140853,-0.11803675261419652,4.0,0,False
2022-10-03,9649.8604,19.74685946651806,45.77837127733236,59.21945310282143,-5.256140784070225,218.53318241395027,-69.33942068661975,-19.992656416649368,-0.45097521357790904,-0.031028590281542145,-0.01974252885706418,-0.0374588146108884,0.030264681708307206,-0.02453579135992845,0.18020204517048988,0.18305310521965776,0.19935770940926295,0,0,0,-0.018793838659926978,0.06171608534477099,-0.014761293391535906,0.08050992400469797,-0.03512877967521874,-0.041948337930062175,-0.041948337930062175,-0.07703825420934034,0,0,1,0,0,1,1,1,-0.01974252885706418,-0.0374588146108884,-0.10955713228034408,-0.20463247500480414,6.0,0,True
2012-06-11,4811.4399,41.26072949750417,23.701979171659687,31.184353409347253,-0.9324520573583542,-136.65953616930892,-8.483248819796529,6.222286939166054,-0.9370151509159641,0.015553775526357505,-0.015094693948034865,-0.039569473429776236,-0.05816124195152361,0.004346570739001465,0.23474664901712727,0.19382583003431889,0.1408335077574359,0,0,0,-0.03444332000565143,-0.08016484025133838,0.02382426665191683,0.1146081602569898,-0.025039443690668964,-0.07863708126964793,-0.12816020279484353,-0.050698987869301854,1,1,1,1,1,1,1,0,-0.015094693948034865,-0.039569473429776236,-0.06430178965044098,-0.20414858677083086,4.0,0,False
2019-05-27,5291.4902,88.08817824265685,34.53430167775447,36.83056406548399,1.082826022527412,-65.82121737979378,8.342643963395886,1.722574289817885,-0.6929965426174906,-0.0007912109194205819,0.006042196242758591,-0.006792825139917302,-0.024230603530025374,0.003873872268000955,0.1090952140254665,0.08986105041039616,0.10313775726991659,1,0,1,-0.009081456153291078,-0.03423193168678785,-0.09569500962564997,0.043313387840078925,-0.002960129523661089,-0.03411938740914291,-0.09356906142915167,-0.12814331567669923,1,1,1,1,0,1,0,0,0.006042196242758591,-0.006792825139917302,0.05538410564227418,-0.07559169982094509,5.0,0,False
2014-03-12,5933.52,61.480613198152646,42.79741297881816,30.254933036338215,1.8007851368714962,-35.24814211842204,2.437212555918002,0.30732638497886455,-0.817242828171472,-0.005454202514654449,-0.0004902272749706116,0.016724030088212993,-0.02892670863971636,0.006266868906269485,0.07623558501272852,0.08023457626070322,0.08035117640072736,0,0,1,-0.005455105197582521,-0.018285395456646984,-0.01166113880285706,0.023740500654229505,-0.005454202514654396,-0.029384180486069857,-0.051491201549503346,-0.051491201549503346,1,1,0,1,0,1,0,0,-0.0004902272749706116,0.016724030088212993,-0.006430341480914483,0.20843659219038824,5.0,0,False
2025-03-17,15649.3,18.398768283137414,24.177540472072977,40.37259176445831,1.0420589684242736,-184.18724571770508,-100.05958668786579,0.41438863839927365,-0.9834116487082797,-0.0038999221543203344,-0.028926863442394146,-0.050329911333863664,-0.056032553555206865,-0.015618817453296852,0.20089228191167882,0.1987584139190205,0.19144445481992411,1,1,1,-0.0444922911654389,-0.04661390483399186,0.17927539004562507,0.09110619599943076,-0.03203998193885188,-0.08982836244946585,-0.08982836244946585,-0.08982836244946585,1,1,1,1,1,1,1,0,-0.028926863442394146,-0.050329911333863664,-0.14399119356869094,-0.25322026434616735,8.0,0,False
2019-12-23,6031.8101,6.789045513168148,16.406624026036326,38.39853114685857,-8.124052389472647,0.8509892049441987,-19.992584004840445,0.5764770096371912,-0.8972598519820083,-0.004502276893139978,-0.004158807990754521,-0.019149258213151832,-0.01429253816223186,-0.00029644791895988565,0.0656916655056703,0.07952274975200699,0.07978177221256341,0,0,1,-0.013693032952753929,0.0015853669339587042,0.055919452239255235,0.015278399886712632,-0.011766735725572125,-0.02951136160689144,-0.02951136160689144,-0.02951136160689144,0,0,1,1,1,1,1,0,-0.004158807990754521,-0.019149258213151832,-0.06330703677103118,-0.24079923636483894,8.0,0,False
2013-04-26,5962.1699,86.91754978870084,89.07001256606745,75.42158881554289,2.095395242422834,51.572215571632114,13.852923674913157,1.753625673468278,0.9629610405405691,0.015281526888135666,0.011938531628737925,0.02897159377221037,0.03770224043658965,0.00016760301009077772,0.048002040016194084,0.05095550179101011,0.06490423924083985,0,0,0,0.025501502965760956,0.035158717074965797,0.08023658054261883,0.060660220040726756,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.011938531628737925,0.02897159377221037,0.24870365761648422,0.5685553904589584,2.0,0,False
2016-03-01,6113.3999,23.75913303277578,12.502440210351281,29.70691263391855,-0.5179158912450323,-87.00372971556408,0.284579463556895,-4.3317561721448925,0.6976723062460171,-0.014387454142309353,-0.018556828039318463,-0.02438012413292523,-0.035748914779817564,-0.00986637274027835,0.0760538771607966,0.07646549025953273,0.09178594303840851,0,0,0,-0.027244692855859776,-0.058318497233478345,-0.12251159473273741,0.08556319008933812,-0.022506666842336386,-0.048640218737744975,-0.11338193890787546,-0.15624871989510727,1,1,1,1,1,1,0,1,-0.018556828039318463,-0.02438012413292523,-0.2439926107576938,-0.31883409386487266,8.0,1,False
2013-09-30,5803.3198,75.98525486556987,75.37276415536552,48.26925112944752,5.341334898576065,-36.09790991763748,22.648647216978283,-0.3247466492394224,0.7546371745071051,0.0034061192919638827,0.003539725160782048,0.009367801497879746,-0.005265682100225488,-0.0017941969354042797,0.11466430124846776,0.12001258822573427,0.1317129717781399,1,0,1,0.01062970349506677,-0.021871528259796626,-0.01720032732053737,0.0325012317548634,-0.0018541648431542215,-0.0018541648431542215,-0.06896770684767557,-0.10564742434102453,1,0,0,1,0,0,0,1,0.003539725160782048,0.009367801497879746,0.030870063761589326,0.07805617377475452,6.0,0,False
2019-01-14,5981.02,19.51358703672878,44.05336013983842,41.20378297044189,2.2928248648947656,-5.330158750745795,-10.429972931269784,0.4899330081498334,-0.938704367327603,-0.00019556383524366172,-0.0069683327726483,-0.005687230579711655,-0.01306560796456857,0.002773768632028051,0.061815659288005004,0.050308619057824175,0.0952384293745733,0,0,0,-0.007294395806968968,-0.00470117021876022,-0.02828451897552368,0.011995566025729189,-0.01427901318534611,-0.01427901318534611,-0.0217708655486694,-0.033943487805107635,1,1,1,1,0,1,1,0,-0.0069683327726483,-0.005687230579711655,-0.1127258064882268,-0.1130445963658549,5.0,0,False
2013-03-19,5722.8599,66.28369301743399,59.976019467935636,37.43273170124213,5.004189860474204,-12.019570706911509,6.87860214447344,1.7723488461139212,-0.5946325525993792,0.005955355793130002,0.0032501859380325016,0.017077275239613554,-0.008958194744845716,0.003561439765480179,0.04741212474491214,0.06857104523766719,0.07231596341336993,0,0,0,0.0062388945344653175,-0.006522095773496725,0.05716316231345618,0.012760990307962043,0.0,-0.002548174459867256,-0.02732997734981362,-0.04171646162446814,1,0,0,1,0,0,0,0,0.0032501859380325016,0.017077275239613554,0.06855034245304147,0.24904135760315438,2.0,0,False
2013-05-31,6463.0601,58.169348844108335,73.17785848475125,83.70240471457011,-1.4133393537789396,136.41787541707163,-3.283775783275587,-3.548287792117492,0.8911292722547979,0.004407338200465016,-0.003974510059956526,0.028003833306823545,0.08216001215329904,-0.009609971962745156,0.10928247032165657,0.10949575549121511,0.07636524485012199,0,0,1,0.021962671733451056,0.07430084764512841,0.13839778080356502,0.09626351937857947,-0.003974510059956534,-0.003974510059956534,-0.003974510059956534,-0.003974510059956534,0,0,0,0,0,0,1,1,-0.003974510059956526,0.028003833306823545,-0.0363688126690913,0.25575034786368883,4.0,0,False
2021-01-21,8131.25,90.15671080839634,92.94122847751368,92.79882486154703,-2.1136541300179537,383.85275460500543,87.01572890704284,7.261272086665031,0.903878396654881,0.026328252725012602,0.09243567644691897,0.1555389456380194,0.22885162412133608,0.025777019911440435,0.24156933557845608,0.1905767955761758,0.1601444384528037,0,0,1,0.1345530772250434,0.22235004511500706,0.43558633425773413,0.35690312234005045,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.09243567644691897,0.1555389456380194,0.3826449809144639,0.8161441114783436,1.0,1,True
2017-04-24,6505.9502,77.6008633492323,87.05938030112354,79.27280750206171,0.21905325496536437,112.51238949099661,36.98721043060742,-4.454522478707673,0.9734670560117769,0.009175156951515717,0.024355860864013312,0.04963125652213041,0.08493080444799683,-0.013630451214256212,0.11065393816826723,0.091363042274344,0.07441584903906376,1,1,1,0.04543872632745455,0.05824546282811344,0.029177097850614078,0.10368418915556799,-0.004527521826811517,-0.004527521826811517,-0.004527521826811517,-0.004527521826811517,0,0,0,0,0,0,0,1,0.024355860864013312,0.04963125652213041,0.22010640706315895,0.5432252698835262,2.0,0,False
2023-10-04,11080.79,38.52759186717369,38.00778377555103,47.881761808971795,-2.7193163948651735,-31.295144487428843,-40.60041648937395,-1.354114465570298,-0.9280785131713774,-0.02247960189173759,-0.012099139660321723,-0.024890792034946374,-0.025833784629667234,0.012687277568995015,0.12531584143335686,0.12481322704226294,0.13988916118267794,0,0,0,-0.020504298247550807,-0.022339744056909125,0.14642385126586108,0.04284404230445993,-0.022479601891737602,-0.03918426663683838,-0.05488040995477725,-0.05488040995477725,1,1,1,1,0,1,1,1,-0.012099139660321723,-0.024890792034946374,-0.09654839303267958,-0.19942271506050493,5.0,0,False
